Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Income
74.0, Private,129879.0, HS-grad,9.0,, Adm-clerical, Not-in-family, Female,15831.0,0.0,40.0, United-States,0.0
41.0, Private,106627.0, Assoc-acdm,12.0, Divorced,, Unmarried, Female,0.0,,50.0, United-States,0.0
46.0,,117310.0, Assoc-acdm,, Widowed, Tech-support, Unmarried, Female,6497.0,0.0,, United-States,0.0
45.0, Self-emp-inc,214690.0, Some-college,10.0, Separated, Adm-clerical, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
42.0, Private,306496.0, HS-grad,9.0,, Other-service, Husband, Male,0.0,0.0,40.0, United-States,0.0
32.0, Self-emp-inc,110331.0, HS-grad,9.0,, Sales, Husband, Male,0.0,0.0,65.0, United-States,0.0
23.0, Private,245302.0, Some-college,10.0, Divorced, Sales, Own-child, Female,0.0,0.0,40.0, United-States,0.0
19.0, State-gov,175507.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Female,0.0,0.0,18.0, United-States,0.0
22.0, Private,, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Male,0.0,0.0,20.0, United-States,0.0
, Private,209483.0, Bachelors,13.0, Never-married, Adm-clerical, Own-child, Female,0.0,0.0,50.0,,0.0
31.0, Private,408208.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, Male,0.0,0.0,30.0, United-States,0.0
36.0, Self-emp-not-inc,104772.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,3908.0,0.0,40.0, United-States,1.0
52.0, Private,259363.0,,9.0, Married-civ-spouse, Craft-repair,, Male,0.0,0.0,50.0, United-States,1.0
56.0, Private,212864.0,,13.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,,,1.0
39.0, Private,177181.0, 7th-8th,4.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,0.0,40.0, United-States,0.0
17.0, Private,198606.0, 11th,7.0, Never-married, Handlers-cleaners, Own-child, Female,0.0,0.0,16.0, United-States,0.0
45.0, Self-emp-inc,107231.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,55.0, United-States,1.0
, Private,182677.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,,0.0,40.0, South,1.0
45.0, Private,247869.0, Bachelors,13.0,, Prof-specialty, Husband, Male,0.0,,60.0, United-States,1.0
37.0, Private,246677.0,,9.0, Separated, Prof-specialty, Unmarried, Female,0.0,0.0,38.0,,0.0
36.0, Private,607848.0, Some-college,10.0,, Sales, Husband, Male,,0.0,45.0, United-States,1.0
68.0, ?,294420.0, Bachelors,13.0, Widowed, ?, Not-in-family, Female,0.0,0.0,2.0, United-States,0.0
23.0, Private,242912.0, Some-college,10.0,, Other-service,, Female,4650.0,0.0,40.0, United-States,0.0
45.0,,319122.0, Bachelors,13.0, Never-married, Sales, Not-in-family, Male,14084.0,0.0,45.0, United-States,0.0
32.0, Self-emp-not-inc,127295.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Male,0.0,0.0,20.0, Iran,0.0
17.0, ?,406920.0, 10th,6.0, Never-married, ?, Own-child, Male,,,40.0, United-States,0.0
46.0, State-gov,27802.0, Assoc-acdm,12.0, Married-civ-spouse, Tech-support, Husband, Male,0.0,,38.0, United-States,1.0
28.0, Local-gov,220754.0, HS-grad,9.0, Separated, Transport-moving, Own-child, Female,0.0,0.0,25.0, United-States,0.0
22.0, Private,,,10.0, Never-married, Adm-clerical, Own-child, Male,0.0,0.0,30.0, United-States,0.0
22.0, Private,115244.0, Assoc-acdm,, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,40.0,,0.0
22.0, Private,333838.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
31.0,,231263.0, Bachelors,13.0, Divorced,, Not-in-family, Male,4650.0,0.0,45.0, United-States,0.0
23.0, Private,, Assoc-voc,11.0, Married-civ-spouse, Machine-op-inspct, Own-child, Female,0.0,0.0,30.0, United-States,0.0
35.0, Self-emp-not-inc,127930.0, HS-grad,9.0, Married-spouse-absent, Farming-fishing, Not-in-family, Male,0.0,0.0,60.0,,0.0
, State-gov,55849.0, Some-college,10.0, Never-married, Craft-repair, Not-in-family, Male,0.0,0.0,, United-States,0.0
62.0, ?,176753.0, HS-grad,9.0, Married-civ-spouse,, Husband, Male,0.0,0.0,40.0, United-States,0.0
27.0, Private,169117.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Female,0.0,1887.0,40.0, United-States,0.0
52.0, Federal-gov,277772.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, Female,0.0,0.0,40.0, United-States,0.0
47.0, Federal-gov,471990.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States,1.0
59.0, Private,151616.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Male,,,55.0, United-States,1.0
45.0, Private,192323.0, Assoc-acdm,12.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,66.0, Yugoslavia,1.0
53.0, Private,254285.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband,,0.0,0.0,40.0, United-States,1.0
39.0, Private,, HS-grad,9.0, Separated, Handlers-cleaners, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
29.0,,115064.0,,9.0, Never-married, Other-service, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
23.0, Private,180795.0, Some-college,10.0, Never-married, Sales, Own-child, Female,0.0,0.0,40.0, United-States,0.0
25.0, Private,176864.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
45.0, Private,178922.0, 9th,, Never-married, Other-service, Not-in-family, Female,0.0,0.0,15.0, United-States,0.0
61.0, Self-emp-not-inc,133969.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,, South,0.0
51.0, Self-emp-inc,338836.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,40.0, United-States,1.0
26.0, Federal-gov,76900.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, Male,0.0,0.0,40.0, United-States,0.0
44.0, Self-emp-not-inc,90021.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,30.0, United-States,0.0
38.0, Private,213512.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,50.0, United-States,1.0
26.0, Private,34110.0, Some-college,10.0, Never-married, Protective-serv,, Male,0.0,,44.0, United-States,0.0
65.0, Local-gov,125768.0, Some-college,, Divorced, Adm-clerical, Not-in-family, Female,0.0,0.0,28.0, United-States,0.0
35.0, Local-gov,42893.0, Bachelors,13.0, Divorced, Prof-specialty, Unmarried, Female,5721.0,0.0,40.0, United-States,0.0
50.0, Private,299215.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Male,0.0,0.0,40.0, United-States,0.0
26.0, Private,174921.0, Bachelors,13.0, Never-married, Sales, Not-in-family, Female,0.0,0.0,40.0, United-States,0.0
48.0, Private,199763.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Wife, Female,0.0,0.0,8.0, United-States,0.0
, Private,204742.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,44.0, United-States,1.0
22.0, Private,193090.0, HS-grad,9.0, Never-married, Sales, Not-in-family, Female,0.0,0.0,, United-States,0.0
38.0, Private,163204.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Male,0.0,1740.0,40.0, United-States,0.0
20.0,,223515.0, Some-college,10.0, Never-married, Other-service, Own-child, Male,,0.0,40.0,,0.0
33.0, Local-gov,248346.0, Assoc-acdm,12.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,50.0, United-States,1.0
51.0, Private,249449.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Male,0.0,0.0,55.0, United-States,1.0
28.0, Private,212563.0,,10.0, Divorced, Machine-op-inspct, Unmarried, Female,0.0,,25.0, United-States,0.0
58.0, Federal-gov,200042.0, Some-college,10.0, Married-civ-spouse, Exec-managerial,, Male,15024.0,0.0,40.0, United-States,1.0
30.0, Private,247444.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,0.0,40.0, Nicaragua,0.0
29.0, Private,337953.0, Bachelors,13.0, Never-married, Handlers-cleaners, Not-in-family, Male,0.0,0.0,36.0, United-States,0.0
38.0, Self-emp-inc,231491.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,50.0, United-States,1.0
65.0, Private,444725.0, Prof-school,15.0, Married-spouse-absent, Craft-repair, Not-in-family, Male,0.0,0.0,48.0, Hungary,1.0
52.0, Private,243616.0, 5th-6th,3.0, Separated, Craft-repair, Unmarried, Female,4101.0,0.0,40.0, United-States,0.0
, Private,59083.0, Some-college,, Married-civ-spouse, Other-service, Husband, Male,,1672.0,50.0, United-States,0.0
61.0, Private,32209.0, 9th,5.0, Married-civ-spouse, Machine-op-inspct, Husband, Male,0.0,2051.0,40.0, United-States,0.0
29.0, Private,114158.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, Female,0.0,0.0,40.0, United-States,0.0
39.0, Private,181705.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, Male,0.0,0.0,45.0, United-States,0.0
21.0, Private,243368.0, Preschool,1.0, Never-married, Farming-fishing, Not-in-family, Male,0.0,0.0,50.0, Mexico,0.0
32.0,,236318.0,,10.0, Married-civ-spouse, Sales, Husband, Male,0.0,0.0,32.0, United-States,0.0
42.0, Federal-gov,, Assoc-acdm,12.0, Divorced, Prof-specialty, Unmarried, Female,0.0,0.0,40.0, Philippines,0.0
23.0,,174413.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, Female,,0.0,40.0, United-States,0.0
22.0, Private,273675.0, HS-grad,9.0, Married-spouse-absent, Other-service, Other-relative, Female,0.0,0.0,35.0, Puerto-Rico,0.0
32.0, Private,199963.0,,7.0, Married-civ-spouse, Machine-op-inspct, Wife, Female,0.0,0.0,, United-States,0.0
39.0, Self-emp-inc,172927.0, Assoc-acdm,12.0, Married-civ-spouse, Prof-specialty, Husband, Male,15024.0,0.0,50.0, United-States,1.0
20.0, Private,116791.0, HS-grad,9.0, Never-married, Machine-op-inspct, Other-relative, Female,0.0,0.0,40.0, United-States,0.0
45.0, Private,195949.0, HS-grad,, Married-civ-spouse, Craft-repair, Husband, Male,0.0,0.0,40.0, United-States,0.0
